ID	NS	OS	Phylum	Class	Genus	Dissimilarity
OTU_602	0.04409441	0.031171574	 Planctomycetes	Others	 CL500-3	0.041880783
OTU_452	0	0.053999843	 Proteobacteria	 Betaproteobacteria	 Unassigned	0.044418465
OTU_3582	0.04409441	0.031171574	 Proteobacteria	 Alphaproteobacteria	 Sphingomonas	0.041880783
OTU_37	0.04409441	0.031171574	 Actinobacteria	 Actinobacteria	Unassigned	0.041880783
OTU_1560	0	0.053999843	 Proteobacteria	Others	 OM27_clade	0.044418465
OTU_390	0	0.053999843	 Bacteroidetes	Others	 uncultured	0.044418465
OTU_461	0.04409441	0.031171574	 Planctomycetes	Others	 SM1A02	0.041880783
OTU_550	0	0.053999843	Others	Others	 Unassigned	0.044418465
OTU_700	0	0.053999843	 Proteobacteria	Others	 Unassigned	0.044418465
OTU_441	0.04409441	0.031171574	 Firmicutes	Others	 Clostridium_sensu_stricto_1	0.041880783
OTU_844	0	0.053999843	 Bacteroidetes	Others	 Unassigned	0.044418465
OTU_701	0	0.053999843	 Planctomycetes	Others	 SM1A02	0.044418465
OTU_432	0	0.053999843	Others	Others	 Unassigned	0.044418465
OTU_991	0	0.053999843	 Proteobacteria	 Gammaproteobacteria	 Pseudomonas	0.044418465
OTU_824	0	0.053999843	Others	Others	 Unassigned	0.044418465
OTU_470	0	0.053999843	 Proteobacteria	 Alphaproteobacteria	 Unassigned	0.044418465
OTU_1627	0.053999843	0	 Proteobacteria	 Betaproteobacteria	 Massilia	0.044418465
OTU_940	0	0.053999843	Others	Others	 Unassigned	0.044418465
OTU_1574	0.031171574	0.04409441	 Proteobacteria	Others	 Unassigned	0.041880783
OTU_3458	0.04409441	0.031171574	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobium	0.041880783
OTU_3416	0.053999843	0	 Firmicutes	Others	Unassigned	0.044418465
OTU_942	0.031171574	0.04409441	Others	Others	 Unassigned	0.041880783
OTU_622	0	0.053999843	Others	Others	 Unassigned	0.044418465
OTU_493	0	0.053999843	 Proteobacteria	Others	 H16	0.044418465
