	COLLAPSE	PRUNE	SPACING	TREE_COLORS	DATASET_STYLE	LABELS	DATASET_TEXT	DATASET_COLORSTRIP	DATASET_BINARY	DATASET_GRADIENT	DATASET_HEATMAP	DATASET_SYMBOL	DATASET_EXTERNALSHAPE	DATASET_DOMAINS	DATASET_SIMPLEBAR	DATASET_MULTIBAR	DATASET_BOXPLOT	DATASET_LINECHART	DATASET_PIECHART	DATASET_ALIGNMENT	DATASET_CONNECTIONS	DATASET_IMAGE	POPUP_INFO
margin							"MARGIN,<num>"	MARGIN <num>	"MARGIN,<num>"	MARGIN <num>	MARGIN <num>		"MARGIN,<num>"	"MARGIN,<num>"	"MARGIN,<num>"	"MARGIN,<num>"	"MARGIN,<num>"	MARGIN <num>	"MARGIN,<num>"	"MARGIN,<num>"		"MARGIN,<num>"	
align to labels									"ALIGN_TO_LABELS,<0/1>"												"ALIGN_TO_LABELS,<0/1>"		
align fields																"ALIGN_FIELDS,<0/1>"							
align to tree							"ALIGN_TO_TREE,<0/1>"																
height factor									"HEIGHT_FACTOR,<double[0,inf)>"				"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"	"HEIGHT_FACTOR <double[0,inf)>"	"HEIGHT_FACTOR,<double[0,inf)>"				
maxiimum chart size												"MAXIMUM_SIZE,<num>"							"MAXIMUM_SIZE,<num>"				
symbol spacing									"SYMBOL_SPACING,<num>"														
horizontal grid													"HORIZONTAL_GRID,<0/1>"										
vertical grid													"VERTICAL_GRID,<0/1>"										
shape spacing													"SHAPE_SPACING,<num>"										
shape type													"SHAPE_TYPE,<int[1,5]>"										
shape color fill													"COLOR_FILL,<0/1>"										
value display													"SHOW_VALUES,<0/1>"		"SHOW_VALUES,<0/1>"								
strip labels display								SHOW_STRIP_LABELS <0/1>															
strip label position								"STRIP_LABEL_POSITION <text(center, top, bottom)>"															
strip label size								"STRIP_LABEL_SIZE_FACTOR <double[0,inf)>"															
strip label rotation								STRIP_LABEL_ROTATION <num>															
strip label shift								STRIP_LABEL_SHIFT <num>															
strip label color								STRIP_LABEL_COLOR <hex color>															
strip label outline width								STRIP_LABEL_OUTLINE <num>															
label display							SHOW_LABELS <0/1>	SHOW_LABELS <0/1>	"SHOW_LABELS,<0/1>"	SHOW_LABELS <0/1>	SHOW_LABELS <0/1>		"SHOW_LABELS,<0/1>"										
font/image size factor							"SIZE_FACTOR,<double[0,inf)>"	"SIZE_FACTOR <double[0,inf)>"	"SIZE_FACTOR,<double[0,inf)>"	"SIZE_FACTOR <double[0,inf)>"	"SIZE_FACTOR <double[0,inf)>"		"SIZE_FACTOR,<double[0,inf)>"							"SIZE_FACTOR,<double[0,inf)>"		"SIZE_FACTOR,<double[0,inf)>"	
label size factor							LABEL_SIZE_FACTOR <0/1>							"LABEL_SIZE_FACTOR,<0/1>"									
labels on top														"LABELS_ON_TOP,<0/1>"									
