ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	All	Asia	North_America	South_America
ASV_116	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_putida	0.208025	0.3219288	0.1471094	0.2378358
ASV_115	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_putida	0.207459	0.3323276	0.1532701	0.2271439
ASV_69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unassigned	0.276354	0.2237596	0.2823916	0.2853905
ASV_106	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora_rectivirgula	0.12897	0.08861154	0.05757994	0.21438008
ASV_128	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	0.205412	0.74796591	0.08284955	0.17441240
ASV_143	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	0.18412	0.1360937	0.2495577	0.1305135
ASV_133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unassigned	0.183242	0.1341020	0.2408825	0.1380075
ASV_131	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unassigned	0.231802	0.05029152	0.34050878	0.17228488
ASV_121	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned	0.098164	0.04306186	0.04475535	0.16929271
ASV_151	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unassigned	0.173899	0.02363719	0.24038430	0.14889384
